DesignName,ParticipantID,TrialID,Block1,Block2,VV,OC,visualSearchTime,ErrorCount
Preattentive Variables,3,111,2,6,Both,Medium,6790,0
Preattentive Variables,3,112,2,7,Both,Low,2880,2
Preattentive Variables,3,113,2,8,Both,High,19088,0
Preattentive Variables,3,114,2,9,Both,Medium,1828,0
Preattentive Variables,3,115,2,10,Both,High,8165,0
Preattentive Variables,3,116,2,11,Both,Low,1560,1
Preattentive Variables,3,117,2,12,Both,Medium,5565,0
Preattentive Variables,3,118,2,13,Both,Low,4594,0
Preattentive Variables,3,119,2,14,Both,High,8655,0
Preattentive Variables,3,120,2,15,Both,Medium,5341,0
Preattentive Variables,3,121,3,1,Shadow,Low,4032,0
Preattentive Variables,3,122,3,2,Shadow,High,690,0
Preattentive Variables,3,123,3,3,Shadow,Medium,1004,0
Preattentive Variables,3,124,3,4,Shadow,High,659,0
Preattentive Variables,3,125,3,5,Shadow,Low,817,0
Preattentive Variables,3,126,3,6,Shadow,Medium,814,0
Preattentive Variables,3,127,3,7,Shadow,Low,613,0
Preattentive Variables,3,128,3,8,Shadow,High,644,0
Preattentive Variables,3,129,3,9,Shadow,Medium,592,0
Preattentive Variables,3,130,3,10,Shadow,High,592,0
Preattentive Variables,3,131,3,11,Shadow,Low,558,0
Preattentive Variables,3,132,3,12,Shadow,Medium,583,0
Preattentive Variables,3,133,3,13,Shadow,Low,727,0
Preattentive Variables,3,134,3,14,Shadow,High,662,0
Preattentive Variables,3,135,3,15,Shadow,Medium,669,0
Preattentive Variables,4,136,1,1,Shadow,Medium,961,0
Preattentive Variables,4,137,1,2,Shadow,Low,700,0
Preattentive Variables,4,138,1,3,Shadow,High,1259,0
Preattentive Variables,4,139,1,4,Shadow,Low,878,0
Preattentive Variables,4,140,1,5,Shadow,Medium,892,0
Preattentive Variables,4,141,1,6,Shadow,High,2190,0
Preattentive Variables,4,142,1,7,Shadow,Medium,1162,0
Preattentive Variables,4,143,1,8,Shadow,Low,743,0
Preattentive Variables,4,144,1,9,Shadow,High,1180,0
Preattentive Variables,4,145,1,10,Shadow,Low,741,0
Preattentive Variables,4,146,1,11,Shadow,Medium,722,0
Preattentive Variables,4,147,1,12,Shadow,High,2632,0
Preattentive Variables,4,148,1,13,Shadow,Medium,759,0
